date;sensor;temperature;vibration
2019-12-10 10:46:09;5;365.26;-6305.32
2019-12-10 10:46:09;43;458.47;-58.41
2019-12-10 10:46:09;44;57.16;-999.66
2019-12-10 10:46:09;67;106.69;-4659.02
2019-12-02 06:53:29;5;26.42;-3438.67
2019-12-02 06:53:29;43;353.76;5363.72
2019-12-02 06:53:29;44;15.63;-5354.56
2019-12-02 06:53:29;67;499.88;9300.94
2020-03-04 23:01:04;11;448.08;-5107.17
2020-03-04 23:01:04;15;301.09;4205.29
2020-03-04 23:01:04;20;405.97;5586.86
2020-03-04 23:01:04;21;5.29;-7816.96
2020-03-04 23:01:04;36;319.55;358.0
2020-03-04 23:01:04;59;499.23;934.79
2020-01-25 21:19:36;1;339.17;742.92
2020-01-25 21:19:36;10;45.59;5858.04
2020-01-25 21:19:36;13;490.57;-3115.08
2020-01-25 21:19:36;28;245.24;-4525.66
2020-01-25 21:19:36;58;386.48;6893.01
2020-01-25 21:19:36;91;367.69;8652.78
2020-01-25 21:19:36;97;476.96;7867.56
2019-12-16 07:15:02;8;187.27;3749.65
2019-12-16 07:15:02;45;365.16;6783.56
2019-12-16 07:15:02;61;496.6;-7313.59
2019-12-16 07:15:02;87;112.53;-1670.68
2019-12-16 07:15:02;88;387.6;-7075.17
2019-12-16 07:15:02;93;267.21;4901.41
2020-01-24 19:47:09;6;59.64;4180.61
2020-01-24 19:47:09;18;364.48;206.97
2020-01-24 19:47:09;49;381.94;-8337.63
2020-01-24 19:47:09;50;198.93;-9235.08
2020-01-24 19:47:09;60;458.94;-4593.9
2020-01-24 19:47:09;64;196.2;-4698.84
2020-01-24 19:47:09;86;269.19;3314.2
2020-01-24 19:47:09;90;127.44;-4327.98
2020-01-24 19:47:09;95;401.78;-8770.52
2019-12-22 07:30:28;14;347.73;-4955.21
2019-12-22 07:30:28;31;26.72;6123.04
2019-12-22 07:30:28;53;313.6;-2521.23
2019-12-22 07:30:28;62;313.12;1101.26
2019-12-22 07:30:28;77;68.33;5442.33
2019-12-22 07:30:28;79;201.08;7490.75
2019-12-22 07:30:28;83;231.87;-9634.39
2019-12-22 07:30:28;94;118.43;-7943.56
2020-02-07 19:16:19;6;305.16;5482.48
2020-02-07 19:16:19;18;203.51;5323.18
2020-02-07 19:16:19;49;36.69;9928.42
2020-02-07 19:16:19;50;323.59;2137.39
2020-02-07 19:16:19;60;436.62;-6910.83
2020-02-07 19:16:19;64;299.85;2444.96
2020-02-07 19:16:19;86;379.06;-3919.16
2020-02-07 19:16:19;90;289.48;3637.74
2020-02-07 19:16:19;95;46.46;2577.58
2020-01-01 18:02:51;37;430.12;1752.64
